,Date,Public holiday,REGIONID
0,2010-01-01,New Year's Day,NSW1
1,2010-01-26,Australia Day,NSW1
2,2010-04-02,Good Friday,NSW1
3,2010-04-03,Easter Saturday,NSW1
4,2010-04-04,Easter Sunday,NSW1
5,2010-04-05,Easter Monday,NSW1
6,2010-04-25,Anzac Day,NSW1
7,2010-06-14,Queen's Birthday,NSW1
8,2010-08-02,Bank Holiday/Picnic Day,NSW1
9,2010-10-04,Labour Day/Queen's Birdthday,NSW1
10,2010-12-25,Christmas Day,NSW1
11,2010-12-26,Boxing Day/Proclamation Day,NSW1
12,2010-12-27,Christmas Day Observance,NSW1
13,2010-12-28,Boxing Day Observance/Proclamation Day Observance,NSW1
0,2011-01-01,New Year's Day,NSW1
1,2011-01-03,New Year's Day Observance,NSW1
2,2011-01-26,Australia Day,NSW1
3,2011-04-22,Good Friday,NSW1
4,2011-04-23,Easter Saturday,NSW1
5,2011-04-24,Easter Sunday,NSW1
6,2011-04-25,Easter Monday,NSW1
7,2011-04-26,Additional public holiday because Anzac day falling on week end/Easter Tuesday,NSW1
8,2011-06-13,Queen's Birthday,NSW1
9,2011-08-01,Bank Holiday/Picnic Day,NSW1
10,2011-10-03,Labour Day/Queen's Birdthday,NSW1
11,2011-12-25,Christmas Day,NSW1
12,2011-12-26,Christmas Day Observance,NSW1
13,2011-12-27,Boxing Day Observance/Proclamation Day Observance,NSW1
0,2012-01-01,New Year's Day,NSW1
1,2012-01-02,New Year's Day Observance,NSW1
2,2012-01-26,Australia Day,NSW1
3,2012-04-06,Good Friday,NSW1
4,2012-04-07,Easter Saturday,NSW1
5,2012-04-08,Easter Sunday,NSW1
6,2012-04-09,Easter Monday,NSW1
7,2012-04-25,Anzac Day,NSW1
8,2012-06-11,Queen's Birthday,NSW1
9,2012-08-06,Bank Holiday/Picnic Day,NSW1
10,2012-10-01,Labour Day/Queen's Birdthday,NSW1
11,2012-12-25,Christmas Day,NSW1
12,2012-12-26,Boxing Day/Proclamation Day,NSW1
0,2013-01-01,New Year's Day,NSW1
1,2013-01-28,Australia Day Observance,NSW1
2,2013-03-29,Good Friday,NSW1
3,2013-03-30,Easter Saturday,NSW1
4,2013-03-31,Easter Sunday,NSW1
5,2013-04-01,Easter Monday,NSW1
6,2013-04-25,Anzac Day,NSW1
7,2013-06-10,Queen's Birthday,NSW1
8,2013-08-05,Bank Holiday/Picnic Day,NSW1
9,2013-10-07,Labour Day/Queen's Birdthday,NSW1
10,2013-12-25,Christmas Day,NSW1
11,2013-12-26,Boxing Day/Proclamation Day,NSW1
0,2014-01-01,New Year's Day,NSW1
1,2014-01-27,Australia Day Observance,NSW1
2,2014-04-18,Good Friday,NSW1
3,2014-04-19,Easter Saturday,NSW1
4,2014-04-20,Easter Sunday,NSW1
5,2014-04-21,Easter Monday,NSW1
6,2014-04-25,Anzac Day,NSW1
7,2014-06-09,Queen's Birthday,NSW1
8,2014-08-04,Bank Holiday/Picnic Day,NSW1
9,2014-10-06,Labour Day/Queen's Birdthday,NSW1
10,2014-12-25,Christmas Day,NSW1
11,2014-12-26,Boxing Day/Proclamation Day,NSW1
0,2015-01-01,New Year's Day,NSW1
1,2015-01-26,Australia Day,NSW1
2,2015-04-03,Good Friday,NSW1
3,2015-04-04,Easter Saturday,NSW1
4,2015-04-05,Easter Sunday,NSW1
5,2015-04-06,Easter Monday,NSW1
6,2015-04-25,Anzac Day,NSW1
7,2015-06-08,Queen's Birthday,NSW1
8,2015-08-03,Bank Holiday/Picnic Day,NSW1
9,2015-10-05,Labour Day/Queen's Birdthday,NSW1
10,2015-12-25,Christmas Day,NSW1
11,2015-12-26,Boxing Day/Proclamation Day,NSW1
12,2015-12-28,Boxing Day Observance/Proclamation Day Observance,NSW1
0,2016-01-01,New Year's Day,NSW1
1,2016-01-26,Australia Day,NSW1
2,2016-03-25,Good Friday,NSW1
3,2016-03-26,Easter Saturday,NSW1
4,2016-03-27,Easter Sunday,NSW1
5,2016-03-28,Easter Monday,NSW1
6,2016-04-25,Anzac Day,NSW1
7,2016-06-13,Queen's Birthday,NSW1
8,2016-08-01,Bank Holiday/Picnic Day,NSW1
9,2016-10-03,Labour Day/Queen's Birdthday,NSW1
10,2016-12-25,Christmas Day,NSW1
11,2016-12-26,Christmas Day Observance,NSW1
12,2016-12-27,Boxing Day Observance/Proclamation Day Observance,NSW1
0,2017-01-01,New Year's Day,NSW1
1,2017-01-02,New Year's Day Observance,NSW1
2,2017-01-26,Australia Day,NSW1
3,2017-04-14,Good Friday,NSW1
4,2017-04-15,Easter Saturday,NSW1
5,2017-04-16,Easter Sunday,NSW1
6,2017-04-17,Easter Monday,NSW1
7,2017-04-25,Anzac Day,NSW1
8,2017-06-12,Queen's Birthday,NSW1
9,2017-08-07,Bank Holiday/Picnic Day,NSW1
10,2017-10-02,Labour Day/Queen's Birdthday,NSW1
11,2017-12-25,Christmas Day,NSW1
12,2017-12-26,Boxing Day/Proclamation Day,NSW1
0,2018-01-01,New Year's Day,NSW1
1,2018-01-26,Australia Day,NSW1
2,2018-03-30,Good Friday,NSW1
3,2018-03-31,Easter Saturday,NSW1
4,2018-04-01,Easter Sunday,NSW1
5,2018-04-02,Easter Monday,NSW1
6,2018-04-25,Anzac Day,NSW1
7,2018-06-11,Queen's Birthday,NSW1
8,2018-08-06,Bank Holiday/Picnic Day,NSW1
9,2018-10-01,Labour Day/Queen's Birdthday,NSW1
10,2018-12-25,Christmas Day,NSW1
11,2018-12-26,Boxing Day/Proclamation Day,NSW1
0,2019-01-01,New Year's Day,NSW1
1,2019-01-28,Australia Day Observance,NSW1
2,2019-04-19,Good Friday,NSW1
3,2019-04-20,Easter Saturday,NSW1
4,2019-04-21,Easter Sunday,NSW1
5,2019-04-22,Easter Monday,NSW1
6,2019-04-25,Anzac Day,NSW1
7,2019-06-10,Queen's Birthday,NSW1
8,2019-08-05,Bank Holiday/Picnic Day,NSW1
9,2019-10-07,Labour Day/Queen's Birdthday,NSW1
10,2019-12-25,Christmas Day,NSW1
11,2019-12-26,Boxing Day/Proclamation Day,NSW1
0,2020-01-01,New Year's Day,NSW1
1,2020-01-27,Australia Day Observance,NSW1
2,2020-04-10,Good Friday,NSW1
3,2020-04-11,Easter Saturday,NSW1
4,2020-04-12,Easter Sunday,NSW1
5,2020-04-13,Easter Monday,NSW1
6,2020-04-25,Anzac Day,NSW1
7,2020-06-08,Queen's Birthday,NSW1
8,2020-08-03,Bank Holiday/Picnic Day,NSW1
9,2020-10-05,Labour Day/Queen's Birdthday,NSW1
10,2020-12-25,Christmas Day,NSW1
11,2020-12-26,Boxing Day/Proclamation Day,NSW1
12,2020-12-28,Boxing Day Observance/Proclamation Day Observance,NSW1
0,2021-01-01,New Year's Day,NSW1
